Loop Number,Length (px)
350,70.00052777747631
388,69.00025796683688
361,69.00011950951584
250,68.00022705883099
162,67.99973756321526
76,67.99983889087362
428,68.00015959500102
15,66.9992978324401
458,66.9994288210864
3,66.99984315201863
544,67.00033588540519
112,65.99957805300068
386,65.99985533147714
496,65.99947146144828
436,66.0001166723848
471,64.99962569651314
324,64.99996137758893
497,65.00023608145722
215,64.9992164116294
426,64.99983797541918
240,63.99971980322734
247,63.99981788884267
119,64.00037567207774
368,63.000851756612605
49,62.99974822439217
169,62.99972068807885
86,63.00013619249549
16,63.00004481398591
411,61.99980989946792
226,62.000398640871055
555,61.99963766877158
449,62.000094658339904
391,61.99966092252284
304,61.99940587928577
422,62.00079275318202
249,62.00019247719653
88,60.99947872590985
292,60.999411276409795
50,60.99995322451873
135,59.999924337405346
408,60.000240751203975
274,60.000773324469435
238,60.00040290061734
342,60.000067104151434
213,59.00026815452872
548,59.00003062745039
397,59.00019712741133
224,58.999541426533746
56,58.99992146312851
171,59.00069541539439
427,59.00000097681736
356,58.99930000917629
515,59.00016619705198
116,57.999567108870444
310,57.99951986028059
60,57.99991977489681
117,57.99986873405375
44,57.000330089810475
139,57.00022142926951
508,56.99964174755306
528,56.999646637570024
477,57.00019308798712
340,57.00016444851711
170,55.99952775405738
155,55.9995293264873
332,56.000236422631204
481,56.000041607965734
476,55.999796955419576
61,55.999482722563855
358,56.00038642143809
468,55.999913977302946
142,54.99965388161917
509,55.000800029950085
39,54.99918530679204
321,55.000004106562415
369,54.99993552845726
363,55.00044680294014
151,53.99975469666272
203,54.00052708078853
520,54.000665541543135
432,53.99952123392392
536,53.00025284734602
87,53.000467230008105
402,53.00044156874598
493,53.000613231655045
492,52.99993664391674
108,52.99921082020251
20,52.99996797499122
267,53.0000708417949
141,52.000354202198494
27,52.000137457985765
535,51.99988463102848
470,52.00016359027364
243,51.99973859225043
248,52.00040683760073
74,51.00024749593687
306,51.00006859377055
325,51.00045005945111
407,49.999847025749716
111,50.00044936903153
348,49.99979909880909
276,49.99972940216713
352,49.999900570084485
100,50.00004647915533
385,48.99913951418892
181,48.99981056759586
457,49.00020741979638
68,48.9996431706214
374,49.000346577938366
148,49.00077882106388
31,48.99980737851409
464,49.00059726709242
474,48.99993723777579
429,49.0001756950907
351,49.000417695394475
404,49.000524966846065
475,49.00028112813772
36,47.998881146135794
425,48.00006409269276
317,47.99963772451496
357,47.999536053145896
174,48.00010979388359
375,48.000028543871764
527,47.999906094036845
130,47.0004987609801
175,47.00024316980172
54,47.00023953630324
107,47.00037592812072
72,47.000206146197115
518,47.00022311734389
256,47.00047416063895
473,46.00017189652611
252,46.00015018538854
463,46.00084037994288
290,45.99959322664911
302,45.99983578577176
412,46.00052355560592
562,45.99995260617839
381,44.99980081833506
461,44.99974548214476
334,44.99912353400332
271,44.99980028039035
121,45.0001299006421
353,45.001061618713166
424,44.99994939374883
75,45.00016254983981
244,44.999796792554505
309,44.999728360169
456,44.999625551687615
190,45.000030183664585
371,44.00010300485188
47,44.000316704540495
484,43.999786779046794
232,43.99935614332707
91,43.99913216381547
251,44.00032211262224
165,44.00015661273242
517,44.0004169652901
434,44.000034357424475
347,43.999402228035635
12,43.00006943326772
192,43.00028071576952
168,42.999962851998625
172,42.99937234573114
307,43.000331447149144
360,43.00013167918445
521,42.99980624080195
531,42.00031991505242
281,42.000575219177335
510,41.999866711349554
35,42.00001096494525
127,41.99939937585167
287,41.99975527948264
283,41.999933428821095
189,40.999387919078515
229,40.99994793216171
38,41.00009709703698
398,41.00008518646058
460,41.00013429962071
337,40.99969568847183
17,40.99981184506209
364,41.000519733493114
421,40.9999116884681
343,41.00003912408121
293,40.00042153191451
166,40.00059987541754
316,40.0003815348748
392,40.000107346982745
395,39.99969906554194
69,39.9996884971828
511,40.0000995510494
524,40.000089132543124
92,40.00018168839794
149,39.99949344906668
95,40.00008171781686
160,38.99990015297409
6,38.99953094530872
90,38.99917602150657
140,39.00058791319316
81,39.00009581912387
270,39.00015439444472
437,38.999744542688845
37,39.000363794376504
53,38.99936930277842
485,39.00058858348776
532,39.00054737177431
239,38.00049592999615
79,37.99960182877935
416,38.00102551459505
98,38.00021309860964
331,38.0004859584488
503,38.00006631382187
545,37.99951842472027
138,38.000074189073274
390,38.00005431921105
205,37.99984173398978
479,38.00042566780019
336,37.99974635623065
109,38.000192126752964
553,36.99997699731664
2,37.000005736671596
406,37.00004668148297
394,36.99989685089031
401,37.00004293151522
193,37.00018144222214
191,36.99968238393923
554,37.00034905460715
377,37.00051557486814
354,36.99998280871734
62,36.999303335830746
97,36.99968209080534
443,37.00017371483741
326,36.99993247336472
557,37.00038019187717
542,37.000154499159926
48,37.00070383353095
236,35.9999757002926
507,35.99959551076903
194,36.00066082091512
187,35.9999915763641
178,36.00056734444196
275,35.99931342888041
67,36.00051426927707
41,35.999857541091735
448,35.999678108267936
367,35.99974189869565
207,36.00040591205258
185,36.00073741867876
136,35.999576880989
176,35.999809131678965
560,36.00001499548972
379,35.00058936343985
546,35.00016266966767
33,34.99979786856292
523,35.00005573881649
65,35.00007858284917
329,34.99982374149679
387,35.00051576134143
196,34.99974478709871
400,35.000274700089065
106,34.9993333860142
59,34.999704192222666
454,35.00005887187695
42,34.999863672216456
118,34.99976587998122
201,33.99972057827799
272,34.0002542850225
253,33.999795542316456
219,34.00039448361223
32,33.99994034342619
113,33.999870746166685
11,33.999823007057735
551,34.00048601550699
529,34.00043227214425
522,33.99983440935866
450,33.999792898711306
370,33.999330649948746
264,33.9996285087174
216,32.999633483321006
489,33.00027261466143
235,32.99945023628886
120,32.999965969892564
14,33.0003838036213
124,32.99965298149786
299,33.00061897846858
122,33.000526764557875
208,33.000520193693774
19,33.00044089206266
289,32.99944043573194
378,32.99992301775155
268,31.999702200416262
144,32.00043635253462
159,31.999292100474367
344,32.00079768645326
465,32.00008583814173
147,32.00005837100642
505,31.999408079308818
