      157.000      60.4969      438.175  1.55270e-05      0.00000
      157.000      61.3944      437.734   0.00481012      1.00000
      157.000      62.2909      437.291    0.0116721      2.00000
      157.000      63.1864      436.846    0.0108495      3.00000
      157.000      64.0808      436.398   0.00735750      4.00000
      157.000      64.9742      435.949   0.00430784      5.00000
      157.000      65.8666      435.498   0.00157077      6.00000
      157.000      66.7579      435.044   0.00245039      7.00000
      157.000      67.6482      434.589   0.00531487      8.00000
      157.000      68.5375      434.132   0.00745553      9.00000
      157.000      69.4257      433.672   0.00745550      10.0000
      157.000      70.3128      433.211   0.00624489      11.0000
      157.000      71.1989      432.747   0.00835952      12.0000
      157.000      72.0839      432.282   0.00719888      13.0000
      157.000      72.9678      431.814    0.0102091      14.0000
      157.000      73.8506      431.344   0.00976894      15.0000
      157.000      74.7324      430.873    0.0115444      16.0000
      157.000      75.6131      430.399    0.0107114      17.0000
      157.000      76.4927      429.923    0.0107114      18.0000
      157.000      77.3712      429.445    0.0115169      19.0000
      157.000      78.2486      428.966    0.0161354      20.0000
      157.000      79.1249      428.484    0.0173234      21.0000
      157.000      80.0000      428.000    0.0187899      22.0000
      157.000      80.8745      427.515    0.0173690      23.0000
      157.000      81.7485      427.029    0.0140542      24.0000
      157.000      82.6222      426.543    0.0113939      25.0000
      157.000      83.4955      426.055    0.0103842      26.0000
      157.000      84.3685      425.568    0.0107764      27.0000
      157.000      85.2411      425.079    0.0104852      28.0000
      157.000      86.1132      424.590    0.0110827      29.0000
      157.000      86.9851      424.100    0.0123046      30.0000
      157.000      87.8565      423.610    0.0127317      31.0000
      157.000      88.7276      423.118    0.0139669      32.0000
      157.000      89.5983      422.627    0.0121680      33.0000
      157.000      90.4686      422.134    0.0128886      34.0000
      157.000      91.3385      421.641    0.0123338      35.0000
      157.000      92.2081      421.147    0.0128698      36.0000
      157.000      93.0769      420.652    0.0122220      37.0000
      157.000      93.9445      420.155    0.0118073      38.0000
      157.000      94.8110      419.656    0.0102220      39.0000
      157.000      95.6764      419.154    0.0120704      40.0000
      157.000      96.5410      418.652    0.0137716      41.0000
      157.000      97.4052      418.149    0.0146549      42.0000
      157.000      98.2690      417.645    0.0175994      43.0000
      157.000      99.1321      417.140    0.0170599      44.0000
      157.000      99.9944      416.634    0.0142556      45.0000
      157.000      100.856      416.126    0.0110795      46.0000
      157.000      101.717      415.618    0.0104201      47.0000
      157.000      102.577      415.108    0.0125471      48.0000
      157.000      103.436      414.596    0.0125471      49.0000
      157.000      104.295      414.083    0.0136863      50.0000
      157.000      105.154      413.570    0.0133839      51.0000
      157.000      106.012      413.057    0.0106908      52.0000
      157.000      106.869      412.542   0.00874600      53.0000
      157.000      107.726      412.027   0.00794121      54.0000
      157.000      108.583      411.512   0.00879759      55.0000
      157.000      109.439      410.995   0.00892225      56.0000
      157.000      110.296      410.478    0.0105079      57.0000
      157.000      111.151      409.961    0.0127225      58.0000
      157.000      112.006      409.443    0.0122573      59.0000
      157.000      112.861      408.924    0.0121991      60.0000
      157.000      113.716      408.404    0.0115379      61.0000
      157.000      114.570      407.884    0.0112293      62.0000
      157.000      115.423      407.363    0.0102743      63.0000
      157.000      116.276      406.841    0.0117143      64.0000
      157.000      117.129      406.319    0.0117936      65.0000
      157.000      117.982      405.796    0.0128562      66.0000
      157.000      118.834      405.273    0.0114906      67.0000
      157.000      119.685      404.749   0.00925509      68.0000
      157.000      120.536      404.224   0.00653499      69.0000
      157.000      121.387      403.698   0.00653497      70.0000
      157.000      122.238      403.172   0.00527798      71.0000
      157.000      123.088      402.645   0.00471275      72.0000
      157.000      123.937      402.118   0.00664889      73.0000
      157.000      124.786      401.590   0.00611306      74.0000
      157.000      125.636      401.062   0.00690019      75.0000
      157.000      126.485      400.534   0.00690020      76.0000
      157.000      127.335      400.008   0.00799986      77.0000
      157.000      128.186      399.481   0.00932067      78.0000
      157.000      129.036      398.956   0.00875938      79.0000
      157.000      129.888      398.431   0.00922534      80.0000
      157.000      130.739      397.907   0.00760487      81.0000
      157.000      131.591      397.383   0.00907290      82.0000
      157.000      132.444      396.861   0.00907292      83.0000
      157.000      133.297      396.338    0.0102123      84.0000
      157.000      134.150      395.817   0.00955039      85.0000
      157.000      135.003      395.296    0.0118901      86.0000
      157.000      135.857      394.776   0.00987648      87.0000
      157.000      136.711      394.255    0.0119875      88.0000
      157.000      137.565      393.735   0.00757638      89.0000
      157.000      138.420      393.216    0.0117006      90.0000
      157.000      139.275      392.697   0.00807180      91.0000
      157.000      140.130      392.178   0.00869513      92.0000
      157.000      140.984      391.658   0.00609416      93.0000
      157.000      141.838      391.139    0.0113088      94.0000
      157.000      142.693      390.620   0.00954702      95.0000
      157.000      143.548      390.101    0.0153280      96.0000
      157.000      144.402      389.581    0.0153281      97.0000
      157.000      145.256      389.061    0.0169953      98.0000
      157.000      146.110      388.540    0.0133370      99.0000
      157.000      146.964      388.019    0.0134767      100.000
      157.000      147.818      387.499    0.0121257      101.000
      157.000      148.672      386.979    0.0104027      102.000
      157.000      149.525      386.458    0.0103067      103.000
      157.000      150.379      385.936    0.0103067      104.000
      157.000      151.231      385.414    0.0104820      105.000
      157.000      152.084      384.891    0.0102934      106.000
      157.000      152.936      384.368    0.0117541      107.000
      157.000      153.789      383.846    0.0113882      108.000
      157.000      154.642      383.324    0.0135761      109.000
      157.000      155.494      382.801    0.0135761      110.000
      157.000      156.346      382.277    0.0140324      111.000
      157.000      157.198      381.753    0.0148096      112.000
      157.000      158.049      381.228    0.0134556      113.000
      157.000      158.900      380.703    0.0130330      114.000
