Loop Number,Length (px)
0,114.60873969394584
1,157.57147958510413
2,185.978839856
3,170.1726779081239
4,86.06085170136465
5,78.07363392617543
6,108.28750046564437
7,141.20540876820507
8,149.63885939345678
9,118.2148510647216
10,178.8508667579391
11,107.4163460315815
12,156.58681196778352
13,131.7999975425431
14,148.42130690494503
15,140.9604140932115
16,137.40751721779554
17,90.21340959912419
18,61.338383587368696
19,104.46276430579289
20,61.71288438645362
21,116.96025180484729
22,91.70049578528076
23,58.35887904815296
24,54.668921246832866
25,61.39538911765439
26,39.545639415486306
27,94.50472800388764
28,90.71821955648855
29,113.96377306750004
30,0
31,77.65503746604215
32,0
33,50.97556824754824
34,0
35,66.89333067715373
36,0
37,56.339740941055624
38,178.08474942184884
39,136.79372395468258
40,118.11693403627156
41,125.82579056239052
42,33.07660752712284
43,135.87664562998117
44,92.76379276174885
45,120.53352107023773
46,0
47,165.7220254713453
48,135.13046417109348
49,80.61493606051292
50,105.39387600714082
51,60.691341315465735
52,171.44493848997286
53,65.77725467625474
54,84.142538568174
55,169.9861100070004
56,54.122621525336804
57,154.9982845347024
58,75.15232247271051
59,123.26787027885676
60,58.888975462944714
61,54.33886344991951
62,43.462812920946305
63,56.229702279486276
64,185.1372800554693
65,64.61791978204425
66,51.36645642879701
67,64.05615289902963
68,0
69,108.08687329161458
70,0
71,102.67439697424204
72,164.0726839996077
73,136.188290689229
74,84.8703125422135
75,95.35431051018148
76,50.42251357440042
77,83.6579335093423
78,42.816756627587544
79,53.86698998702699
80,66.89394927937289
81,191.28335184437293
82,165.46068887523896
83,0
84,67.7221039837182
85,66.14910825753174
86,56.99551170485916
87,61.61665927572447
88,52.822056874682765
89,75.87438246929355
90,98.99905163620986
91,77.7884633980937
92,118.78101649385019
93,82.16627250370276
94,157.63530664096496
95,50.08358663554605
96,76.24310644738972
97,109.00282633295126
98,85.70385842599896
99,82.65906677877487
100,254.92221913290447
101,116.24524256255722
102,106.61928483052378
103,117.16214789506515
104,110.3015793792193
105,41.828966754671065
106,0
107,59.85764034665444
108,44.41428030874587
109,91.7578901597306
110,126.78335971517126
111,170.71400768479748
112,21.190290674677684
113,0
114,30.732849745843367
115,60.75626122420041
116,65.48386958055372
117,95.55645018536876
118,28.64678245187005
119,39.896470097330884
120,45.652066909769715
121,19.43716083691856
122,62.646699278190404
123,29.967596462757182
124,49.10511659754999
125,71.66441060969437
126,50.0217168322666
127,75.85726567475612
128,92.15731685646176
129,79.2189481681746
130,51.68916271778356
131,48.321297355949696
132,77.91225681126005
133,38.06938312178213
134,36.27833760618084
135,42.56286426089399
136,81.28421459415257
137,52.14122805963706
138,76.27083388611968
139,26.861537891939868
140,16.2241657996214
141,63.207611391022766
142,12.811230579806024
143,70.29540727222765
144,90.394983675545
145,70.461543757956
146,29.12917565418447
147,26.454961423244388
148,36.618188939367194
149,18.372411411872427
150,36.744822823744606
151,81.58804020783383
152,61.5751250216744
153,64.07021978962251
154,44.309570661366976
155,43.046789994344024
156,48.09330700873461
157,0
158,35.41444373613863
159,38.634601063070065
160,61.784753094365655
161,71.87870622652574
162,87.43083444546039
163,64.56177217416018
164,78.42402531085138
165,45.77382580294005
166,84.35335201296648
167,39.89092379032714
168,23.93529459883769
169,65.76094899667933
170,199.53352314455307
171,33.84961824107162
172,64.13965092389843
173,139.822409410364
174,89.84332874391279
175,48.79957985380658
176,0
177,0
178,0
179,42.96116431117323
180,25.379588747854775
181,21.263235092377684
182,94.94443855663397
183,0
184,74.53799997114004
185,0
186,53.73554529008372
187,76.99855428315765
188,88.51415546617025
189,156.07887504792177
190,91.81649121473812
191,124.65974145314078
192,94.85844184190685
193,64.77340206668552
194,49.30463423827794
195,38.71467286101438
196,0
197,31.331597886117063
198,24.636610002463613
199,55.12822061793308
200,104.48854545529548
201,95.02692429521699
202,0
203,79.25409682375548
204,10.26106341260223
205,59.45072317899238
206,73.43486483712628
207,56.33974094105553
208,153.50919050405793
209,48.33552575623246
210,32.73338830418881
