Loop Number,Length (px)
0,70.06299668920906
1,96.18340349467721
2,76.56419192905884
3,154.04304531216215
4,82.77690663218152
5,54.111826104337325
6,141.52475573948806
7,123.49070454011387
8,161.37348173442803
9,63.998198865664655
10,235.45045461187416
11,64.40781930016212
12,78.39290588653412
13,81.52356307711433
14,198.49962211781065
15,98.22862509866675
16,182.1295104020133
17,146.34100634576959
18,137.17124852556532
19,95.38280836627791
20,70.4115161946487
21,82.81016031468295
22,95.73724687298102
23,0
24,72.6143065475089
25,70.12339557462022
26,137.70154031256814
27,100.23065044880467
28,0
29,140.85224865624082
30,129.95941037848183
31,158.5021823691069
32,137.64939002134267
33,0
34,76.28695969349707
35,87.66779429657919
36,164.51819126797545
37,100.0099203052529
38,77.57210145146273
39,113.71991195796873
40,111.55055377149617
41,79.36873815867293
42,68.69933542612625
43,101.91453756879982
44,73.76135567182268
45,111.77286622230947
46,59.45288932517009
47,76.65746432001056
48,73.37705082166185
49,76.35102284339806
50,73.09858337081195
51,57.495904247523384
52,122.43899590812103
53,123.56251633500483
54,119.075762680613
55,129.24271939082834
56,37.774229220442784
57,98.18486339425407
58,117.11761820106001
59,76.42150595440066
60,62.25416935576925
61,61.19618176293521
62,68.68206045211045
63,67.60210532620643
64,59.88342128489079
65,105.31037804562403
66,128.87484912410807
67,78.72096841518652
68,70.36001009429326
69,0
70,153.3951065783814
71,115.62286218989885
72,142.0394506504432
73,116.17069647418332
74,102.88084823647425
75,61.71363119474026
76,112.91783664806735
77,114.61359688020151
78,125.7034986706669
79,75.27782279416682
80,106.22773621982597
81,301.6435936364064
82,57.58023837674466
83,75.2835098399191
84,151.06776926594222
85,80.4945762095476
86,81.16590252833038
87,114.40626576924453
88,137.65645410804132
89,142.19423590631402
90,110.98959099332333
91,69.89793093786982
92,98.25415440007683
93,112.60481614454332
94,73.09858337081178
95,88.36711760189905
96,89.48311559697599
97,0
98,122.59361841544472
99,109.40704569434791
100,0
101,120.21916161308994
102,69.79263995684519
103,78.7175596492206
104,72.83584139301641
