Loop Number,Length (px)
0,136.2416642992997
1,193.21137459316185
2,175.18470189331214
3,213.39701071103696
4,81.40370059597001
5,89.04361424905471
6,76.9150902667112
7,85.0514402787381
8,98.35132470597122
9,181.1463047561123
10,79.66580049829597
11,123.81408241821791
12,258.8770675035732
13,151.8932198903507
14,92.14176059496565
15,113.19092203285649
16,76.99025499634675
18,269.08589066957916
19,62.82892415543799
20,118.00444635061788
21,150.90743557932925
22,171.80391999797837
23,186.22715421800748
24,179.36596673942967
26,50.0307075479125
27,85.6604632550436
28,106.83479926509133
29,75.16864977575781
30,126.02649410629618
31,104.297219254496
32,100.86795074033083
33,45.949210125745935
34,84.27476993042787
35,68.70383193586967
36,87.56719024683512
38,131.35412036142512
39,118.47999904192619
40,192.96979207423684
41,192.37107331728973
42,292.0924688429546
44,73.40842163240995
45,70.18240257284066
46,164.64755829892974
47,159.93052165763578
48,123.62884975246153
50,125.37788555812344
51,91.23075633030393
52,107.75248002179367
53,141.2972210084327
54,174.44183644043704
55,217.17480404632647
56,199.59035698394024
57,118.93655666477085
58,117.12230111349822
59,125.80545608509559
60,66.15500360824056
61,51.275972654681084
62,70.19638827541812
63,64.38398007778736
64,106.17880429444719
65,89.60786916942355
66,72.84227096526965
69,96.62596005906346
70,103.58295447731709
71,95.46306805030173
72,126.3236294920292
73,132.3999885695896
74,133.62430722428928
75,61.37543119290982
76,66.89655744414605
77,66.04278665145165
78,88.59858025444905
79,79.7206640918191
80,22.781892500364656
81,40.61426412006428
82,78.66147883016268
83,71.45547177950726
84,51.411572812689265
86,197.9393101914908
87,0
89,123.82541056235189
90,58.557443786782954
91,63.70108733541812
92,70.7304066025285
93,76.69486860919314
94,104.59409186718929
95,93.47149701694556
96,72.26985961187606
97,110.02071062362916
98,75.58124565560078
101,162.43626027563482
102,108.66638956556295
103,82.85001031337815
104,93.18378490801301
105,55.80855132771269
106,98.42925461853233
107,66.08570420762479
109,123.35523098837167
110,166.38526548941624
111,34.718399343932695
112,152.71096622211388
113,131.260301094639
114,99.68655845686212
115,103.94686769582897
116,55.76670910213617
117,90.37746543485619
118,109.61647969711242
119,72.80963959901737
120,94.44571500318469
121,101.05722716232371
122,59.51853425521837
123,95.89537709756598
124,35.34107052520946
125,36.415135662013995
126,29.09142444400246
127,71.67836510468422
128,75.02885078726356
129,74.58935334049369
130,113.59533355487112
131,84.62827517131345
132,98.52484641476877
133,75.59768226537244
134,68.82416368592342
135,32.91007810668324
136,112.87020378395954
137,52.17571396403487
138,48.858296251898715
139,50.884935060125365
140,38.18612396064314
141,106.89473989234332
142,79.61406347940608
143,21.083628851750642
144,88.32096391451077
145,54.51642343166716
146,119.84855673273614
147,89.01842941841088
148,72.81544088843913
149,79.43061462157235
150,71.51913967170667
151,41.993396286263476
152,92.82161492320301
153,74.85135018599952
154,109.34223526250257
155,81.88773752487856
156,50.516865271206555
157,82.12297782901533
158,59.255943884759475
159,52.81400878449837
160,137.40255368661008
161,83.28108889153212
162,71.95576564542614
163,89.7204975819724
164,39.97826451748751
165,50.93391978357487
166,216.7046941429434
167,118.82754448709547
168,45.288173069295496
169,54.668153399063584
170,81.77422263315468
171,86.38776054388345
172,130.88790473949774
173,30.11223260156718
174,43.428570370904914
175,110.65471740437694
176,100.15699755324232
177,18.988495410789064
178,125.07198396939013
179,100.53678810470969
180,84.39231218609342
181,72.1647214575226
182,89.2293750849001
183,71.8382115071811
184,193.9959805734291
185,107.67664935320857
186,125.20469076836108
187,49.88984987158764
188,132.1679921466513
189,96.11262417692278
190,117.33985052698188
191,104.65293737458364
192,147.83743599495227
193,82.36585461884741
