Loop,x,y,Length,Intensity,Width
0,989.777,189.913,0,1.1016595,0
0,989.908,188.921,1.0006123125366935,1.1016595,1
0,990.036,187.93,1.9998445177822775,1.1016595,1
0,990.16,186.937,3.000556764134842,1.1016595,1
0,990.28,185.944,4.000781238940396,1.1016595,1
0,990.394,184.951,5.000303624882801,1.1016595,1
0,990.502,183.957,6.000153613631108,1.1016595,1
0,990.604,182.962,7.00036809063093,1.1016595,1
0,990.701,181.967,8.000085050575068,1.1016595,1
0,990.791,180.971,9.000143048893177,1.1016595,1
0,990.876,179.974,10.000759858666036,1.1016595,1
0,990.955,178.978,10.99988797857858,1.1016595,1
0,991.028,177.98,12.000554256615386,1.1016595,1
0,991.095,176.982,13.000800726241739,1.1016595,1
0,991.157,175.984,14.00072472335351,1.1016595,1
0,991.212,174.986,15.000239105441148,1.1016595,1
0,991.263,173.987,16.000540060154275,1.1016595,1
0,991.311,172.988,17.00069254852792,1.1016595,1
0,991.355,171.989,18.000661048031773,1.1016595,1
0,991.396,170.99,19.000502035389257,1.1016595,1
0,991.437,169.991,20.000343022746744,1.1016595,1
0,991.476,168.992,21.00010399417944,1.1016595,1
0,991.514,167.992,22.000825733725456,1.1016595,1
0,991.551,166.993,23.000510684097318,1.1016595,1
0,991.587,165.994,24.00015912229946,1.1016595,1
0,991.621,164.994,25.000736955353943,1.1016595,1
0,991.655,163.995,26.000315366485353,1.1016595,1
0,991.687,162.995,27.00082723548042,1.1016595,1
0,991.718,161.996,28.000308100729967,1.1016595,1
0,991.748,160.996,29.000757999525508,1.1016595,1
0,991.777,159.997,30.00017883180788,1.1016595,1
0,991.804,158.997,31.000543265401955,1.1016595,1
0,991.831,157.998,31.999908063661355,1.1016595,1
0,991.856,156.998,33.00022051484848,1.1016595,1
0,991.88,155.998,34.00050847338842,1.1016595,1
0,991.903,154.998,35.00077293841755,1.1016595,1
0,991.925,153.999,36.00001515129688,1.1016595,1
0,991.945,152.999,37.00021513130088,1.1016595,1
0,991.965,151.999,38.000415111304875,1.1016595,1
0,991.982,150.999,39.000559600866254,1.1016595,1
0,991.996,149.999,40.00065759606473,1.1016595,1
0,992.01,148.999,41.0007555912632,1.1016595,1
0,992.022,147.999,42.000827588671385,1.1016595,1
0,992.034,147.0,42.999899658143846,1.1016595,1
0,992.044,146.0,43.99994965689391,1.1016595,1
0,992.051,145.0,44.999974156593794,1.1016595,1
0,992.057,144.0,45.999992156431794,1.1016595,1
0,992.061,143.0,47.00000015639979,1.1016595,1
0,992.064,142.0,48.00000465638967,1.1016595,1
0,992.066,141.0,49.00000665638767,1.1016595,1
0,992.066,140.0,50.00000665638767,1.1016595,1
0,992.066,139.0,51.00000665638767,1.1016595,1
0,992.064,138.0,52.00000865638567,1.1016595,1
0,992.06,137.0,53.000016656353665,1.1016595,1
0,992.054,136.0,54.000034656191666,1.1016595,1
0,992.046,135.0,55.00006665567968,1.1016595,1
0,992.038,134.0,56.0000986551677,1.1016595,1
0,992.028,133.0,57.00014865391776,1.1016595,1
0,992.016,132.0,58.00022065132595,1.1016595,1
0,992.0,131.0,59.00034864313499,1.1016595,1
0,991.983,130.0,60.00049313269638,1.1016595,1
0,991.967,129.0,61.00062112450542,1.1016595,1
0,991.953,128.0,62.000719119703895,1.1016595,1
0,991.94,127.0,63.00080361613407,1.1016595,1
0,991.927,126.001,63.9998881971381,1.1016595,1
0,991.916,125.001,64.99994869530808,1.1016595,1
0,991.906,124.001,65.99999869405814,1.1016595,1
0,991.898,123.001,67.00003069354615,1.1016595,1
0,991.89,122.001,68.00006269303417,1.1016595,1
0,991.884,121.001,69.00008069287217,1.1016595,1
0,991.879,120.001,70.00009319279405,1.1016595,1
0,991.875,119.001,71.00010119276206,1.1016595,1
0,991.872,118.001,72.00010569275193,1.1016595,1
0,991.87,117.001,73.00010769274994,1.1016595,1
0,991.87,116.001,74.00010769274994,1.1016595,1
0,991.87,115.001,75.00010769274994,1.1016595,1
0,991.871,114.001,76.0001081927498,1.1016595,1
0,991.872,113.001,77.00010869274968,1.1016595,1
0,991.874,112.001,78.00011069274768,1.1016595,1
0,991.875,111.001,79.00011119274755,1.1016595,1
0,991.877,110.001,80.00011319274556,1.1016595,1
0,991.879,109.001,81.00011519274356,1.1016595,1
0,991.88,108.001,82.00011569274344,1.1016595,1
0,991.879,107.001,83.0001161927433,1.1016595,1
